2017.05.23 14:43:37 INFO  web[][o.s.s.q.RegisterQualityProfiles] Set default java profile: Sonar way
2017.05.23 14:43:37 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile {lang=flex, name=Sonar way}
2017.05.23 14:43:37 INFO  web[][o.s.s.q.RegisterQualityProfiles] Set default flex profile: Sonar way
2017.05.23 14:43:37 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile {lang=py, name=Sonar way}
2017.05.23 14:43:37 INFO  web[][o.s.s.q.RegisterQualityProfiles] Set default py profile: Sonar way
2017.05.23 14:43:37 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile {lang=php, name=Sonar way}
2017.05.23 14:43:38 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile {lang=php, name=PSR-2}
2017.05.23 14:43:38 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile {lang=php, name=Drupal}
2017.05.23 14:43:38 INFO  web[][o.s.s.q.RegisterQualityProfiles] Set default php profile: Sonar way
2017.05.23 14:43:38 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile {lang=js, name=Sonar way}
2017.05.23 14:43:38 INFO  web[][o.s.s.q.RegisterQualityProfiles] Set default js profile: Sonar way
2017.05.23 14:43:39 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
2017.05.23 14:43:39 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2017.05.23 14:43:39 INFO  web[][o.s.s.e.IndexerStartupTask] Index authorization
2017.05.23 14:43:40 INFO  web[][o.s.s.e.IndexerStartupTask] Index issues
2017.05.23 14:43:40 INFO  web[][o.s.s.e.IndexerStartupTask] Index tests
2017.05.23 14:43:40 INFO  web[][o.s.s.e.IndexerStartupTask] Index users
2017.05.23 14:43:40 INFO  web[][o.s.s.e.IndexerStartupTask] Index views
2017.05.23 14:43:40 INFO  web[][o.s.s.e.IndexerStartupTask] Index project measures
2017.05.23 14:43:40 INFO  web[][o.s.s.e.IndexerStartupTask] Index components
2017.05.23 14:43:40 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@133d8837 [pattern=org.sonar.api.web.ServletFilter$UrlPattern@7b4166e4]
2017.05.23 14:43:40 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@32f92086 [pattern=org.sonar.api.web.ServletFilter$UrlPattern@4dfa6ade]
